,Entidade,Código,Ano,Conversão_líquida_de_floresta,Área_de_Floresta,Produção_Óleo,População
174,Uganda,UGA,2010,-41250.0,0.0669802266939321,146900.0,32428164
175,Georgia,GEO,2000,6180.0,0.0663917120825162,1600.0,4077131
176,Serbia,SRB,2010,1309.9999999999998,0.0660689476591349,230579.0,7291436
177,Malawi,MWI,2010,-42000.0,0.0648196527771173,27484.0,14539609
178,Equatorial Guinea,GNQ,2000,-8360.0,0.0629040187961993,5693.0,606180
179,Equatorial Guinea,GNQ,2010,-8360.0,0.0616613476455607,6125.0,943640
180,Cuba,CUB,2000,49700.0,0.0585611167575625,6367.0,11126423
181,Estonia,EST,2010,17000.0,0.0568884567308117,25881.0,1331475
182,Estonia,EST,2000,9710.0,0.0538447222576341,6288.0,1396985
183,Lithuania,LTU,2010,3400.0,0.0528454170366099,13873.0,3097282
184,Dominican Republic,DOM,2010,6110.000000000002,0.0504861248695561,54520.0,9695117
185,Hungary,HUN,2010,2890.000000000001,0.0498351764836627,284333.0,10000023
186,Lithuania,LTU,2000,15000.0,0.0485804746818382,4015.0,3499536
187,Cuba,CUB,1990,37700.0,0.0485786035158417,2001.0,10596986
188,Dominican Republic,DOM,2000,10070.0,0.0474373905424186,36715.0,8471317
189,Croatia,HRV,2010,400.0,0.0467572353503645,55022.0,4295427
190,Algeria,DZA,2010,7600.0,0.0467085298968746,66753.0,35977451
191,Hungary,HUN,2000,12520.0,0.0462036388834194,196723.0,10210971
192,Bangladesh,BGD,2000,-3200.0,0.0461833914073626,232292.0,127657862
193,Bangladesh,BGD,2010,-990.000000000002,0.0459862767270719,179087.0,147575433
194,Niger,NER,1990,-61690.0,0.0459112652275569,2343.0,8026592
195,Croatia,HRV,2000,3500.0,0.0453337597897352,42612.0,4468302
196,Bangladesh,BGD,1990,0.0,0.0453289357092207,140401.0,103171957
197,Hungary,HUN,1990,10730.0,0.0428166807178743,332606.0,10373988
198,Uruguay,URY,2010,37740.0,0.0421618758135865,17937.0,3359273
199,Algeria,DZA,1990,-8800.0,0.039349140943104,49536.0,25758872
200,Algeria,DZA,2000,33900.0,0.0379745393676349,41130.0,31042238
201,Dominican Republic,DOM,1990,37760.000000000015,0.0376470014389605,38079.0,7133491
202,Uruguay,URY,2000,36230.0,0.0329240939799191,19300.0,3319734
203,Togo,TGO,1990,-9320.0,0.0321416624214679,19973.0,3774310
204,Niger,NER,2000,-12420.0,0.0319404596163116,18315.0,11331561
205,Togo,TGO,2000,-2960.0,0.03050622932516,26663.0,4924406
206,Slovenia,SVN,2010,200.0,0.0303678502509919,3753.0,2048583
207,Togo,TGO,2010,-2960.0,0.0301698625825552,34352.0,6421674
208,Switzerland,CHE,2010,3440.0000000000005,0.0300687987665636,44153.0,7824909
209,Slovenia,SVN,2000,1400.0,0.0296533293478745,246.0,1988925
210,Niger,NER,2010,-12420.0,0.0293182477282832,29425.0,16464025
211,Switzerland,CHE,2000,3850.000000000001,0.0287678179232283,51386.0,7184250
212,Switzerland,CHE,1990,4270.0,0.0272280948277567,55342.0,6715519
